,no,id,l1,l2,l3,l4,l5,slope,pow
199,1,2,58,34,48,61,60,0.0432,0.01
200,2,2,58,34,48,61,60,0.0864,0.03
201,3,2,58,34,48,61,60,0.1728,0.03
202,4,2,58,34,48,61,60,0.3456,0.08
203,5,2,58,34,48,61,60,0.6912,0.51
204,6,2,58,34,48,61,60,1.3824,0.96
205,7,2,58,34,48,61,60,2.7648,1
206,8,2,58,34,48,61,60,5.5296,1
207,9,2,58,34,48,61,60,11.0592,1
208,10,2,58,34,48,61,60,22.1184,1
209,11,2,58,34,48,61,60,44.2368,1
210,1,2,13,41,46,62,55,0.0432,0.05
211,2,2,13,41,46,62,55,0.0864,0.07
212,3,2,13,41,46,62,55,0.1728,0.07
213,4,2,13,41,46,62,55,0.3456,0.1
214,5,2,13,41,46,62,55,0.6912,0.19
215,6,2,13,41,46,62,55,1.3824,0.5
216,7,2,13,41,46,62,55,2.7648,0.99
217,8,2,13,41,46,62,55,5.5296,1
218,9,2,13,41,46,62,55,11.0592,1
219,10,2,13,41,46,62,55,22.1184,1
220,11,2,13,41,46,62,55,44.2368,1
221,1,2,61,38,14,49,33,0.0432,0.03
222,2,2,61,38,14,49,33,0.0864,0.03
223,3,2,61,38,14,49,33,0.1728,0.03
224,4,2,61,38,14,49,33,0.3456,0.05
225,5,2,61,38,14,49,33,0.6912,0.14
226,6,2,61,38,14,49,33,1.3824,0.63
227,7,2,61,38,14,49,33,2.7648,1
228,8,2,61,38,14,49,33,5.5296,1
229,9,2,61,38,14,49,33,11.0592,1
230,10,2,61,38,14,49,33,22.1184,1
231,11,2,61,38,14,49,33,44.2368,1
232,1,2,35,48,37,52,58,0.0432,0.03
233,2,2,35,48,37,52,58,0.0864,0.03
234,3,2,35,48,37,52,58,0.1728,0.06
235,4,2,35,48,37,52,58,0.3456,0.14
236,5,2,35,48,37,52,58,0.6912,0.39
237,6,2,35,48,37,52,58,1.3824,1
238,7,2,35,48,37,52,58,2.7648,1
239,8,2,35,48,37,52,58,5.5296,1
240,9,2,35,48,37,52,58,11.0592,1
241,10,2,35,48,37,52,58,22.1184,1
242,11,2,35,48,37,52,58,44.2368,1
243,1,2,34,32,58,31,24,0.0432,0.03
244,2,2,34,32,58,31,24,0.0864,0.04
245,3,2,34,32,58,31,24,0.1728,0.08
246,4,2,34,32,58,31,24,0.3456,0.24
247,5,2,34,32,58,31,24,0.6912,0.68
248,6,2,34,32,58,31,24,1.3824,1
249,7,2,34,32,58,31,24,2.7648,1
250,8,2,34,32,58,31,24,5.5296,1
251,9,2,34,32,58,31,24,11.0592,1
252,10,2,34,32,58,31,24,22.1184,1
253,11,2,34,32,58,31,24,44.2368,1
254,1,2,13,21,41,56,14,0.0432,0.03
255,2,2,13,21,41,56,14,0.0864,0.05
256,3,2,13,21,41,56,14,0.1728,0.05
257,4,2,13,21,41,56,14,0.3456,0.1
258,5,2,13,21,41,56,14,0.6912,0.17
259,6,2,13,21,41,56,14,1.3824,0.57
260,7,2,13,21,41,56,14,2.7648,1
261,8,2,13,21,41,56,14,5.5296,1
262,9,2,13,21,41,56,14,11.0592,1
263,10,2,13,21,41,56,14,22.1184,1
264,11,2,13,21,41,56,14,44.2368,1
265,1,2,14,43,62,39,28,0.0432,0.03
266,2,2,14,43,62,39,28,0.0864,0.05
267,3,2,14,43,62,39,28,0.1728,0.05
268,4,2,14,43,62,39,28,0.3456,0.1
269,5,2,14,43,62,39,28,0.6912,0.32
270,6,2,14,43,62,39,28,1.3824,0.87
271,7,2,14,43,62,39,28,2.7648,1
272,8,2,14,43,62,39,28,5.5296,1
273,9,2,14,43,62,39,28,11.0592,1
274,10,2,14,43,62,39,28,22.1184,1
275,11,2,14,43,62,39,28,44.2368,1
276,1,2,23,48,21,41,24,0.0432,0.02
277,2,2,23,48,21,41,24,0.0864,0.04
278,3,2,23,48,21,41,24,0.1728,0.06
279,4,2,23,48,21,41,24,0.3456,0.14
280,5,2,23,48,21,41,24,0.6912,0.51
281,6,2,23,48,21,41,24,1.3824,1
282,7,2,23,48,21,41,24,2.7648,1
283,8,2,23,48,21,41,24,5.5296,1
284,9,2,23,48,21,41,24,11.0592,1
285,10,2,23,48,21,41,24,22.1184,1
286,11,2,23,48,21,41,24,44.2368,1
287,1,2,25,15,55,46,39,0.0432,0.04
288,2,2,25,15,55,46,39,0.0864,0.04
289,3,2,25,15,55,46,39,0.1728,0.05
290,4,2,25,15,55,46,39,0.3456,0.08
291,5,2,25,15,55,46,39,0.6912,0.26
292,6,2,25,15,55,46,39,1.3824,0.69
293,7,2,25,15,55,46,39,2.7648,1
294,8,2,25,15,55,46,39,5.5296,1
295,9,2,25,15,55,46,39,11.0592,1
296,10,2,25,15,55,46,39,22.1184,1
297,11,2,25,15,55,46,39,44.2368,1
298,1,2,63,52,50,12,32,0.0432,0.1
299,2,2,63,52,50,12,32,0.0864,0.11
300,3,2,63,52,50,12,32,0.1728,0.14
301,4,2,63,52,50,12,32,0.3456,0.21
302,5,2,63,52,50,12,32,0.6912,0.42
303,6,2,63,52,50,12,32,1.3824,1
304,7,2,63,52,50,12,32,2.7648,1
305,8,2,63,52,50,12,32,5.5296,1
306,9,2,63,52,50,12,32,11.0592,1
307,10,2,63,52,50,12,32,22.1184,1
308,11,2,63,52,50,12,32,44.2368,1
309,1,2,27,21,39,51,52,0.0432,0.06
310,2,2,27,21,39,51,52,0.0864,0.06
311,3,2,27,21,39,51,52,0.1728,0.09
312,4,2,27,21,39,51,52,0.3456,0.17
313,5,2,27,21,39,51,52,0.6912,0.5
314,6,2,27,21,39,51,52,1.3824,0.99
315,7,2,27,21,39,51,52,2.7648,1
316,8,2,27,21,39,51,52,5.5296,1
317,9,2,27,21,39,51,52,11.0592,1
318,10,2,27,21,39,51,52,22.1184,1
319,11,2,27,21,39,51,52,44.2368,1
320,1,2,33,63,52,60,32,0.0432,0.08
321,2,2,33,63,52,60,32,0.0864,0.08
322,3,2,33,63,52,60,32,0.1728,0.11
323,4,2,33,63,52,60,32,0.3456,0.17
324,5,2,33,63,52,60,32,0.6912,0.33
325,6,2,33,63,52,60,32,1.3824,0.87
326,7,2,33,63,52,60,32,2.7648,1
327,8,2,33,63,52,60,32,5.5296,1
328,9,2,33,63,52,60,32,11.0592,1
329,10,2,33,63,52,60,32,22.1184,1
330,11,2,33,63,52,60,32,44.2368,1
331,1,3,26,58,37,11,25,0.0432,0.08
332,2,3,26,58,37,11,25,0.0864,0.08
333,3,3,26,58,37,11,25,0.1728,0.1
334,4,3,26,58,37,11,25,0.3456,0.12
335,5,3,26,58,37,11,25,0.6912,0.2
336,6,3,26,58,37,11,25,1.3824,0.59
337,7,3,26,58,37,11,25,2.7648,1
338,8,3,26,58,37,11,25,5.5296,1
339,9,3,26,58,37,11,25,11.0592,1
340,10,3,26,58,37,11,25,22.1184,1
341,11,3,26,58,37,11,25,44.2368,1
342,1,3,26,61,58,18,23,0.0432,0.04
343,2,3,26,61,58,18,23,0.0864,0.04
344,3,3,26,61,58,18,23,0.1728,0.06
345,4,3,26,61,58,18,23,0.3456,0.1
346,5,3,26,61,58,18,23,0.6912,0.26
347,6,3,26,61,58,18,23,1.3824,0.66
348,7,3,26,61,58,18,23,2.7648,1
349,8,3,26,61,58,18,23,5.5296,1
350,9,3,26,61,58,18,23,11.0592,1
351,10,3,26,61,58,18,23,22.1184,1
352,11,3,26,61,58,18,23,44.2368,1
353,1,3,24,19,62,52,39,0.0432,0.06
354,2,3,24,19,62,52,39,0.0864,0.07
355,3,3,24,19,62,52,39,0.1728,0.08
356,4,3,24,19,62,52,39,0.3456,0.1
357,5,3,24,19,62,52,39,0.6912,0.18
358,6,3,24,19,62,52,39,1.3824,0.7
359,7,3,24,19,62,52,39,2.7648,1
360,8,3,24,19,62,52,39,5.5296,1
361,9,3,24,19,62,52,39,11.0592,1
362,10,3,24,19,62,52,39,22.1184,1
363,11,3,24,19,62,52,39,44.2368,1
364,1,3,20,43,63,39,41,0.0432,0.07
365,2,3,20,43,63,39,41,0.0864,0.08
366,3,3,20,43,63,39,41,0.1728,0.11
367,4,3,20,43,63,39,41,0.3456,0.16
368,5,3,20,43,63,39,41,0.6912,0.49
369,6,3,20,43,63,39,41,1.3824,0.96
370,7,3,20,43,63,39,41,2.7648,1
371,8,3,20,43,63,39,41,5.5296,1
372,9,3,20,43,63,39,41,11.0592,1
373,10,3,20,43,63,39,41,22.1184,1
374,11,3,20,43,63,39,41,44.2368,1
375,1,3,54,18,51,46,23,0.0432,0.09
376,2,3,54,18,51,46,23,0.0864,0.09
377,3,3,54,18,51,46,23,0.1728,0.11
