"","no","id","l1","l2","l3","l4","l5","slope","pow"
"347",4,4,22,63,33,51,29,5.2,0.65
"348",5,4,22,63,33,51,29,10.4,0.9
"349",6,4,22,63,33,51,29,20.8,1
"350",7,4,22,63,33,51,29,41.6,1
"351",1,4,30,12,61,51,14,0.52,0.07
"352",2,4,30,12,61,51,14,1.04,0.13
"353",3,4,30,12,61,51,14,2.08,0.26
"354",4,4,30,12,61,51,14,5.2,0.59
"355",5,4,30,12,61,51,14,10.4,0.92
"356",6,4,30,12,61,51,14,20.8,0.99
"357",7,4,30,12,61,51,14,41.6,1
"358",1,4,27,43,57,15,61,0.52,0.02
"359",2,4,27,43,57,15,61,1.04,0.02
"360",3,4,27,43,57,15,61,2.08,0.08
"361",4,4,27,43,57,15,61,5.2,0.49
"362",5,4,27,43,57,15,61,10.4,0.85
"363",6,4,27,43,57,15,61,20.8,0.99
"364",7,4,27,43,57,15,61,41.6,1
"365",1,4,54,57,11,21,61,0.52,0.03
"366",2,4,54,57,11,21,61,1.04,0.07
"367",3,4,54,57,11,21,61,2.08,0.14
"368",4,4,54,57,11,21,61,5.2,0.61
"369",5,4,54,57,11,21,61,10.4,0.92
"370",6,4,54,57,11,21,61,20.8,0.98
"371",7,4,54,57,11,21,61,41.6,1
"372",1,4,21,24,44,16,52,0.52,0.06
"373",2,4,21,24,44,16,52,1.04,0.12
"374",3,4,21,24,44,16,52,2.08,0.34
"375",4,4,21,24,44,16,52,5.2,0.81
"376",5,4,21,24,44,16,52,10.4,0.96
"377",6,4,21,24,44,16,52,20.8,1
"378",7,4,21,24,44,16,52,41.6,1
"379",1,4,52,16,41,24,43,0.52,0.12
"380",2,4,52,16,41,24,43,1.04,0.17
"381",3,4,52,16,41,24,43,2.08,0.34
"382",4,4,52,16,41,24,43,5.2,0.78
"383",5,4,52,16,41,24,43,10.4,0.95
"384",6,4,52,16,41,24,43,20.8,1
"385",7,4,52,16,41,24,43,41.6,1
"386",1,4,13,44,48,26,17,0.52,0.05
"387",2,4,13,44,48,26,17,1.04,0.13
"388",3,4,13,44,48,26,17,2.08,0.35
"389",4,4,13,44,48,26,17,5.2,0.66
"390",5,4,13,44,48,26,17,10.4,0.9
"391",6,4,13,44,48,26,17,20.8,0.99
"392",7,4,13,44,48,26,17,41.6,1
"393",1,4,40,47,62,21,39,0.52,0.16
"394",2,4,40,47,62,21,39,1.04,0.2
"395",3,4,40,47,62,21,39,2.08,0.26
"396",4,4,40,47,62,21,39,5.2,0.69
"397",5,4,40,47,62,21,39,10.4,0.91
"398",6,4,40,47,62,21,39,20.8,0.99
"399",7,4,40,47,62,21,39,41.6,1
"400",1,4,53,58,64,23,29,0.52,0.07
"401",2,4,53,58,64,23,29,1.04,0.11
"402",3,4,53,58,64,23,29,2.08,0.3
"403",4,4,53,58,64,23,29,5.2,0.72
"404",5,4,53,58,64,23,29,10.4,0.92
"405",6,4,53,58,64,23,29,20.8,1
"406",7,4,53,58,64,23,29,41.6,1
"407",1,4,29,42,52,23,15,0.52,0.04
"408",2,4,29,42,52,23,15,1.04,0.12
"409",3,4,29,42,52,23,15,2.08,0.28
"410",4,4,29,42,52,23,15,5.2,0.78
"411",5,4,29,42,52,23,15,10.4,0.92
"412",6,4,29,42,52,23,15,20.8,0.99
"413",7,4,29,42,52,23,15,41.6,1
"414",1,4,14,33,15,62,27,0.52,0.04
"415",2,4,14,33,15,62,27,1.04,0.08
"416",3,4,14,33,15,62,27,2.08,0.15
"417",4,4,14,33,15,62,27,5.2,0.53
"418",5,4,14,33,15,62,27,10.4,0.78
"419",6,4,14,33,15,62,27,20.8,0.92
"420",7,4,14,33,15,62,27,41.6,1
"421",1,5,56,15,49,29,21,0.52,0.26
"422",2,5,56,15,49,29,21,1.04,0.32
"423",3,5,56,15,49,29,21,2.08,0.48
"424",4,5,56,15,49,29,21,5.2,0.79
"425",5,5,56,15,49,29,21,10.4,0.95
"426",6,5,56,15,49,29,21,20.8,1
"427",7,5,56,15,49,29,21,41.6,1
"428",1,5,49,62,31,61,30,0.52,0.11
"429",2,5,49,62,31,61,30,1.04,0.16
